material_id,formula,utility_tier,predicted_latent_bandgap_eV,stage1_score,energy_above_hull,is_dark_matter
mp-1228979,Ba10Ti8NbNiO30,Tier 3 (Refractory),1.2652711,1.2168643705447881,0.012752655224996,True
mp-1217972,SrPrMnO4,Tier 2 (Exotic),1.2900071,1.216740769889989,0.018931767559514,True
mp-555486,LiEu(PO3)4,Tier 2 (Exotic),1.2561638,1.216739246776777,0.010461636620365,True
mp-1215272,ZrCuF6,Tier 1 (Standard),1.2579229,1.2166807133055204,0.010928644062505,True
mp-768523,La3Pt3O11,Tier 2 (Exotic),1.2162875,1.2162874937057495,0.0,True
mp-26932,V2P3O11,Tier 1 (Standard),1.2845386,1.2158556332499921,0.017822999374972,True
mp-864635,Ag2Cl3,Tier 1 (Standard),1.215732,1.2157319784164429,0.0,True
mp-1216130,Y2VFeO6,Tier 1 (Standard),1.2400101,1.2150186889180272,0.006718077687505,True
mp-1206608,K2VCl6,Tier 1 (Standard),1.2150108,1.2150107622146606,0.0,True
mp-1228402,Ba2NdTlCu2O7,Tier 2 (Exotic),1.2147155,1.2147154808044434,0.0,True
mp-998204,RbInCl3,Tier 1 (Standard),1.3637453,1.214558668943746,0.036464936999999,True
mp-998195,RbInCl3,Tier 1 (Standard),1.3637453,1.2145241716418336,0.036473368999999,True
mp-1217628,Ti12Mn5(PO4)18,Tier 1 (Standard),1.2389399,1.2127253926540535,0.007052935353808,True
mp-865762,TlW2(Cl3O)2,Tier 3 (Refractory),1.4058892,1.2125704425582473,0.045835455909092,True
mp-532334,Na(WO3)8,Tier 3 (Refractory),1.3193241,1.2124340552293225,0.027006272290519,True
mp-1029782,Ca3W3N5,Tier 3 (Refractory),1.2216142,1.211840295958482,0.002666948181818,True
mp-656,LuS,Tier 2 (Exotic),1.2118276,1.2118276357650757,0.0,True
mp-21348,Ba2EuTaO6,Tier 3 (Refractory),1.416653,1.2116789349986739,0.0482296645,True
mp-5050,Rb(OsO3)2,Tier 1 (Standard),1.2102323,1.2102322578430176,0.0,True
mp-37386,La2SmS4,Tier 2 (Exotic),1.3512043,1.2091911682257934,0.035033712857143,True
mp-31247,Eu2Te4O11,Tier 2 (Exotic),1.2983239,1.2091109529161161,0.022904638529404,True
mp-6691,Ba2Dy(CuO2)4,Tier 2 (Exotic),1.2090373,1.2090373039245605,0.0,True
mp-34472,Na(Nd2Se3)4,Tier 2 (Exotic),1.215111,1.2089464220604387,0.001691092440481,True
mp-756681,Na(WO3)9,Tier 3 (Refractory),1.2088466,1.2088465690612793,0.0,True
mp-555498,Ba3ErMn2O9,Tier 2 (Exotic),1.2086716,1.2086715698242188,0.0,True
mp-707273,U(BH4)4,Tier 4 (Extreme),1.2275196,1.207494446477606,0.005437845119047,True
mp-540833,V2Co3O8,Tier 1 (Standard),1.262723,1.2074349279678918,0.014594924999966,True
mp-19350,LaVO3,Tier 2 (Exotic),1.2073238,1.2073237895965576,0.0,True
mp-1036194,Mg14MnFeO16,Tier 1 (Standard),1.3933012,1.2068720645142554,0.044601310312497,True
mp-1443382,ReWO6,Tier 3 (Refractory),1.3527505,1.2065179986554493,0.036033384531251,True
mp-19066,W3O8,Tier 3 (Refractory),1.3012615,1.2063748640350125,0.024306330681818,True
mp-685158,Cu16I19,Tier 1 (Standard),1.2114011,1.2061784192944847,0.00143709230888,True
mp-643629,Sr2YCu3(PbO4)2,Tier 1 (Standard),1.2995191,1.2055719847726374,0.024097909248046,True
mp-1218226,SrLaGaCuO5,Tier 2 (Exotic),1.3531724,1.2054115148216622,0.036398639791668,True
mp-1029673,KCrN2,Tier 1 (Standard),1.2053987,1.205398678779602,0.0,True
mp-18791,Ba4Mn3O10,Tier 1 (Standard),1.2044529,1.2044528722763062,0.0,True
mp-554714,Np2O5,Tier 4 (Extreme),1.204415,1.204414963722229,0.0,True
mp-1219140,Sm3YS4,Tier 2 (Exotic),1.217315,1.2040337800001482,0.003636741249998,True
mp-15670,Y5S7,Tier 1 (Standard),1.2040081,1.2040081024169922,0.0,True
mp-571135,La3BCCl3,Tier 2 (Exotic),1.2514421,1.2038912609239667,0.012665605227274,True
mp-1211782,KZr6NCl15,Tier 1 (Standard),1.2034371,1.203437089920044,0.0,True
mp-1206874,CoH,Tier 1 (Standard),1.2033943,1.2033942937850952,0.0,True
mp-9117,Sr2YTlCu2O7,Tier 1 (Standard),1.2564301,1.2028441932610219,0.014216457067312,True
mp-768593,Li3Fe2P2(CO7)2,Tier 1 (Standard),1.3891588,1.2026383959863474,0.044756208559786,True
mp-6710,Ba2Tm(CuO2)4,Tier 2 (Exotic),1.2021344,1.202134370803833,0.0,True
mp-1198573,Sr2YCu3(PbO4)2,Tier 1 (Standard),1.2948744,1.2015834878179656,0.024015441123046,True
mp-1225741,Er6Ag(GeS7)2,Tier 2 (Exotic),1.3772389,1.200904903279455,0.042678136734607,True
mp-755562,LiMnO2,Tier 1 (Standard),1.3439729,1.200880915697102,0.035489803749999,True
mp-771768,Co(SO4)2,Tier 1 (Standard),1.4034646,1.200824326529199,0.048128570681825,True
mp-1176406,Na2BiO3,Tier 1 (Standard),1.3382738,1.200467246051334,0.034324446250008,True
mp-777964,Na2BiO3,Tier 1 (Standard),1.3382738,1.2003969214378958,0.034341962500008,True
mp-541177,GdVO3,Tier 2 (Exotic),1.2002009,1.2002009153366089,0.0,True
mp-1223506,KBa2Bi2O7,Tier 1 (Standard),1.2001759,1.2001758813858032,0.0,True
mp-775984,TiFe3Ni2(PO4)6,Tier 1 (Standard),1.3228517,1.1989722273261905,0.031215248715276,True
mp-1068843,Sm2BiO2,Tier 2 (Exotic),1.1981584,1.1981583833694458,0.0,True
mp-31628,CrReO4,Tier 3 (Refractory),1.2938664,1.1977905712587513,0.024751608819446,True
mp-646565,NaCe4I7N2,Tier 2 (Exotic),1.1975173,1.1975172758102417,0.0,True
mp-9523,Rb(ThSe3)2,Tier 4 (Extreme),1.1974955,1.197495460510254,0.0,True
mp-555010,Sm2MnNiO6,Tier 2 (Exotic),1.1967493,1.1967493295669556,0.0,True
mp-1225181,DyYMn2O6,Tier 2 (Exotic),1.1966696,1.196669578552246,0.0,True
mp-775990,Fe3Ni2Sn(PO4)6,Tier 1 (Standard),1.3444843,1.1957341839221194,0.03687910724538,True
mp-29588,Nd3(BN2)2,Tier 2 (Exotic),1.1956942,1.1956942081451416,0.0,True
mp-1214649,Ba3Eu(BO2)9,Tier 2 (Exotic),1.3085628,1.1942663867327703,0.029114988528228,True
mp-675006,FeOF,Tier 1 (Standard),1.3180046,1.1929742288469551,0.031621128518519,True
mp-1203583,Pr4(TmS2)11,Tier 2 (Exotic),1.2886752,1.1926984648397296,0.024825682736402,True
mp-998786,TlPdF3,Tier 1 (Standard),1.1925973,1.1925972700119019,0.0,True
mp-1226869,Ce4UO10,Tier 4 (Extreme),1.1914968,1.1914968490600586,0.0,True
mp-1226399,Cs4FeSbCl12,Tier 1 (Standard),1.267945,1.1906616860246328,0.020317222500001,True
mp-1217013,TiNi5(BO5)2,Tier 1 (Standard),1.3279785,1.1905430241036488,0.034497413055476,True
mp-662534,AgIrF7,Tier 1 (Standard),1.1904666,1.1904666423797607,0.0,True
mp-760317,LiVCrP2(O4F)2,Tier 1 (Standard),1.2183124,1.1904077885634556,0.007634767166695,True
mp-1288099,LiMnO2,Tier 1 (Standard),1.2697234,1.1901173114771277,0.020898541874999,True
mp-8469,Li8IrO6,Tier 1 (Standard),1.209147,1.189910509464508,0.005303040733334,True
